,,Year of death registration [note 3],,,,,,,,,,,,,,,,,,,,
"Area code 
","Local Authority District 
",2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
E07000177,Cherwell,16,9,13,7,18,10,14,14,11,12,14,12,9,13,7,11,5,16,6,19,10
E07000178,Oxford,9,12,9,11,12,9,11,12,13,10,12,15,12,19,14,22,14,16,10,16,21
E07000179,South Oxfordshire,13,9,16,7,11,11,4,14,13,7,11,12,8,15,14,11,12,10,8,11,10
E07000180,Vale of White Horse,18,13,13,11,9,11,7,8,13,10,14,4,14,13,8,17,4,8,9,11,12
E07000181,West Oxfordshire,9,16,6,6,13,9,15,7,8,9,8,12,6,11,6,11,5,6,8,11,2
E07000207,Elmbridge,10,12,12,9,7,12,10,14,11,6,9,12,12,9,7,8,13,10,6,6,10
E07000208,Epsom and Ewell,6,9,11,9,9,3,4,6,8,4,9,5,4,4,6,5,6,3,3,9,2
E07000209,Guildford,8,17,13,13,9,13,6,5,18,4,7,12,13,7,8,8,14,8,16,8,11
E07000210,Mole Valley,11,13,6,8,6,8,5,8,8,8,10,8,13,8,7,2,6,9,2,4,5
E07000211,Reigate and Banstead,17,14,14,9,7,14,16,8,8,11,10,10,8,10,12,8,11,13,14,10,5
E07000212,Runnymede,5,7,7,5,6,6,8,7,14,6,6,6,8,5,4,4,4,9,5,5,3
E07000213,Spelthorne,7,5,10,5,2,6,5,15,11,8,9,4,9,11,6,9,7,6,10,8,13
E07000214,Surrey Heath,6,12,3,6,7,6,6,7,10,7,5,8,5,7,5,6,8,3,10,7,4
E07000215,Tandridge,4,10,6,7,4,7,4,2,12,4,9,5,10,5,5,2,5,5,5,6,6
E07000216,Waverley,7,16,8,8,8,10,10,6,6,12,7,19,15,9,5,8,5,7,8,8,8
E07000217,Woking,7,15,8,5,8,7,7,9,6,8,7,10,8,3,9,6,12,5,11,7,7
E07000223,Adur,3,7,7,8,2,6,5,9,2,5,5,5,5,4,6,6,9,6,7,4,8
E07000224,Arun,12,17,22,14,10,14,14,13,10,16,15,10,11,13,11,6,10,13,14,20,18
E07000225,Chichester,13,14,11,13,8,6,14,11,10,7,8,2,6,11,11,10,12,13,8,7,10
E07000226,Crawley,14,12,10,5,10,6,12,6,10,12,8,17,2,8,7,11,9,8,5,13,11
E07000227,Horsham,14,10,14,7,12,15,12,15,12,11,19,7,4,11,11,11,4,8,9,6,8
E07000228,Mid Sussex,17,14,13,11,7,6,17,6,15,6,6,5,5,10,3,6,13,18,13,12,7
E07000229,Worthing,13,15,13,9,10,11,7,10,10,11,1,11,12,7,7,15,10,12,20,7,18
E07000040,East Devon,20,9,12,11,11,9,11,13,15,12,13,9,19,7,6,12,13,15,15,11,9
E07000041,Exeter,13,13,18,20,13,16,15,14,12,8,13,11,13,5,7,10,14,9,7,16,9
E07000042,Mid Devon,11,7,14,13,4,9,5,8,5,1,12,5,9,5,8,1,6,6,4,7,7
E07000043,North Devon,11,8,9,7,12,12,9,14,10,12,11,6,8,7,10,7,8,8,4,5,10
E07000044,South Hams,6,11,6,5,7,4,7,6,8,13,8,5,7,6,8,9,10,15,11,10,9
E07000045,Teignbridge,16,18,15,23,14,11,11,13,12,20,8,16,17,13,9,6,13,16,8,8,13
E07000046,Torridge,6,7,11,5,7,8,5,9,7,12,9,6,4,6,4,13,5,5,3,9,6
E07000047,West Devon,12,2,8,3,5,5,6,4,2,6,2,4,3,7,5,4,8,4,4,2,5
E07000078,Cheltenham,7,12,14,5,11,14,9,13,10,12,16,13,21,5,4,13,17,9,16,8,12
E07000079,Cotswold,12,7,13,8,5,12,9,8,4,9,9,6,11,10,5,9,9,9,4,8,3
E07000080,Forest of Dean,14,5,11,9,8,9,7,10,12,5,6,15,11,5,4,5,5,3,8,5,7
E07000081,Gloucester,12,21,11,15,7,22,9,14,16,17,14,16,16,10,15,9,8,20,11,12,15
E07000082,Stroud,13,11,11,10,12,9,8,12,8,15,20,9,7,6,8,12,14,9,10,7,10
E07000083,Tewkesbury,3,8,7,7,6,3,3,5,14,12,8,11,7,9,5,5,5,11,12,5,5
E07000187,Mendip,14,19,6,12,7,13,9,9,18,14,6,9,3,8,7,12,11,6,10,10,9
E07000188,Sedgemoor,18,10,15,14,15,13,9,12,10,5,6,14,12,9,9,16,10,10,11,3,10
E07000246,Somerset West and Taunton,23,28,27,19,11,19,20,15,20,9,16,11,18,10,15,18,20,14,20,14,11
E07000189,South Somerset,23,11,25,20,15,10,15,10,18,10,22,16,16,16,8,10,7,15,9,18,14
